policy_id,customer_id,product_id,agent_id,policy_status,start_date,end_date,annual_premium_usd,sum_assured_usd,payment_frequency,payment_method,underwriting_class,riders,channel,region
POL-000082,CUST-01701,PROD-004,AGT-0038,Surrendered,2021-11-03,2022-11-03,1634.22,138090.04,Quarterly,Credit Card,Substandard,"Disability,CI Rider,Hospital Cash",Agency,Thailand
POL-000083,CUST-00127,PROD-015,AGT-0005,Active,2019-05-31,2020-05-30,767.53,62806.58,Semi-Annual,Auto-Debit,Standard,"Accidental Death,Disability",Agency,Singapore
POL-000084,CUST-01040,PROD-006,AGT-0001,Active,2018-10-30,2019-10-30,459.55,19357.61,Annual,Cash,Substandard,,Bancassurance,Thailand
POL-000085,CUST-00504,PROD-013,AGT-0047,Active,2018-12-14,2019-12-14,1333.59,64230.9,Semi-Annual,Bank Transfer,Preferred,CI Rider,Bancassurance,Malaysia
POL-000086,CUST-00223,PROD-011,AGT-0043,Surrendered,2021-01-06,2050-12-30,12257.22,797752.31,Quarterly,Auto-Debit,Substandard,"Accidental Death,Hospital Cash",Agency,Mainland China
POL-000087,CUST-01517,PROD-011,AGT-0030,Matured,2023-05-22,2053-05-14,13488.17,1334521.89,Monthly,Bank Transfer,Declined,"Hospital Cash,Waiver of Premium",Bancassurance,Taiwan
POL-000088,CUST-01592,PROD-002,AGT-0046,Active,2024-07-14,2044-07-09,2694.61,204238.41,Annual,Cash,Preferred,Accidental Death,Agency,South Korea
POL-000089,CUST-01156,PROD-012,AGT-0049,Active,2024-08-18,2034-08-16,10022.35,508031.51,Monthly,Auto-Debit,Standard,CI Rider,Agency,Taiwan
POL-000090,CUST-00063,PROD-014,AGT-0025,Active,2019-03-11,2020-03-10,5156.98,238120.16,Monthly,Cash,Standard,"Accidental Death,Waiver of Premium,Hospital Cash",Bancassurance,Malaysia
POL-000091,CUST-00287,PROD-001,AGT-0015,Cancelled,2020-05-29,2025-05-28,4781.6,305690.59,Quarterly,Credit Card,Declined,"CI Rider,Disability,Waiver of Premium",Agency,Singapore
POL-000092,CUST-00908,PROD-006,AGT-0002,Surrendered,2020-03-27,2021-03-27,628.67,23816.29,Quarterly,Cash,Substandard,"CI Rider,Waiver of Premium,Accidental Death",Digital,Hong Kong
POL-000093,CUST-01312,PROD-004,AGT-0038,Active,2018-01-11,2019-01-11,2471.19,179774.64,Semi-Annual,Bank Transfer,Declined,"CI Rider,Waiver of Premium,Accidental Death",Agency,Singapore
POL-000094,CUST-00534,PROD-013,AGT-0029,Active,2020-04-04,2021-04-04,1605.23,41850.87,Monthly,Auto-Debit,Substandard,"Disability,CI Rider,Hospital Cash",Digital,Hong Kong
POL-000095,CUST-01981,PROD-008,AGT-0046,Active,2018-07-25,2019-07-25,2910.22,178683.82,Monthly,Credit Card,Preferred,"Accidental Death,Waiver of Premium",Agency,Malaysia
POL-000096,CUST-00280,PROD-006,AGT-0028,Active,2022-09-15,2023-09-15,353.36,14759.76,Monthly,Credit Card,Substandard,,Digital,Singapore
POL-000097,CUST-00627,PROD-001,AGT-0006,Active,2021-04-18,2026-04-17,4059.45,351380.41,Annual,Credit Card,Standard,,Broker,Singapore
POL-000098,CUST-00145,PROD-002,AGT-0003,Active,2023-01-21,2043-01-16,1450.99,87810.19,Annual,Cash,Preferred,"CI Rider,Hospital Cash",Bancassurance,Vietnam
POL-000099,CUST-00500,PROD-013,AGT-0049,Cancelled,2024-06-02,2025-06-02,1085.33,71522.16,Semi-Annual,Credit Card,Preferred,,Agency,Malaysia
POL-000100,CUST-01177,PROD-011,AGT-0037,Active,2022-03-29,2052-03-21,10186.75,630499.35,Quarterly,Credit Card,Substandard,"Accidental Death,Hospital Cash",Bancassurance,Thailand
POL-000101,CUST-01341,PROD-006,AGT-0023,Active,2018-10-05,2019-10-05,340.51,33137.75,Monthly,Bank Transfer,Substandard,"Waiver of Premium,Hospital Cash",Bancassurance,Thailand
POL-000102,CUST-00341,PROD-010,AGT-0005,Active,2020-01-14,2021-01-13,408.17,22807.91,Monthly,Bank Transfer,Preferred,Disability,Agency,Hong Kong
POL-000103,CUST-01111,PROD-015,AGT-0044,Active,2022-09-12,2023-09-12,944.79,48311.94,Annual,Bank Transfer,Substandard,,Agency,Taiwan
POL-000104,CUST-01832,PROD-007,AGT-0050,Active,2021-06-22,2022-06-22,866.72,32065.34,Annual,Bank Transfer,Declined,"Hospital Cash,Accidental Death",Broker,Singapore
POL-000105,CUST-00044,PROD-004,AGT-0033,Surrendered,2020-03-16,2021-03-16,2638.44,86768.78,Quarterly,Cash,Standard,CI Rider,Digital,Malaysia
POL-000106,CUST-01541,PROD-013,AGT-0016,Active,2023-09-20,2024-09-19,993.58,20222.52,Semi-Annual,Credit Card,Substandard,,Agency,Taiwan
POL-000107,CUST-00456,PROD-008,AGT-0007,Active,2018-11-15,2019-11-15,3039.94,184671.44,Annual,Cash,Declined,"CI Rider,Waiver of Premium,Hospital Cash",Agency,Hong Kong
POL-000108,CUST-00280,PROD-005,AGT-0049,Active,2018-05-17,2019-05-17,2081.79,51474.42,Annual,Auto-Debit,Declined,"Waiver of Premium,Hospital Cash",Agency,Singapore
POL-000109,CUST-01032,PROD-006,AGT-0016,Active,2018-02-22,2019-02-22,396.55,8342.13,Annual,Credit Card,Preferred,"Disability,CI Rider",Agency,Hong Kong
POL-000110,CUST-01357,PROD-006,AGT-0025,Active,2021-08-18,2022-08-18,466.76,42211.71,Annual,Auto-Debit,Declined,"Hospital Cash,Disability,Waiver of Premium",Bancassurance,Indonesia
POL-000111,CUST-01423,PROD-010,AGT-0021,Active,2020-07-26,2021-07-26,474.81,38574.23,Semi-Annual,Auto-Debit,Preferred,"Accidental Death,CI Rider",Agency,Malaysia
POL-000112,CUST-01341,PROD-002,AGT-0046,Active,2019-04-06,2039-04-01,2627.8,129350.89,Monthly,Credit Card,Substandard,"CI Rider,Accidental Death,Waiver of Premium",Agency,Thailand
POL-000113,CUST-01113,PROD-012,AGT-0005,Active,2021-08-02,2031-07-31,7726.49,331836.78,Monthly,Auto-Debit,Standard,"Disability,Waiver of Premium,Hospital Cash",Agency,Mainland China
POL-000114,CUST-01116,PROD-007,AGT-0033,Active,2020-05-08,2021-05-08,2390.15,212146.09,Annual,Auto-Debit,Standard,CI Rider,Digital,Indonesia
POL-000115,CUST-00656,PROD-014,AGT-0004,Lapsed,2020-10-15,2021-10-15,6843.29,300664.18,Semi-Annual,Cash,Preferred,Accidental Death,Agency,Vietnam
POL-000116,CUST-01593,PROD-005,AGT-0016,Active,2021-05-16,2022-05-16,1712.14,155563.25,Semi-Annual,Cash,Standard,"Waiver of Premium,Hospital Cash",Agency,Hong Kong
POL-000117,CUST-01769,PROD-011,AGT-0047,Active,2023-04-12,2053-04-04,13680.58,1300823.0,Annual,Bank Transfer,Standard,Accidental Death,Bancassurance,Hong Kong
POL-000118,CUST-01970,PROD-009,AGT-0044,Lapsed,2019-08-19,2020-08-18,493.22,24761.07,Annual,Bank Transfer,Declined,"Hospital Cash,CI Rider,Accidental Death",Agency,Hong Kong
POL-000119,CUST-01482,PROD-006,AGT-0014,Active,2023-04-07,2024-04-06,298.63,22326.29,Semi-Annual,Cash,Declined,CI Rider,Agency,Thailand
POL-000120,CUST-01079,PROD-004,AGT-0037,Active,2020-02-15,2021-02-14,4062.46,340117.44,Semi-Annual,Credit Card,Preferred,Accidental Death,Bancassurance,Singapore
POL-000121,CUST-01046,PROD-001,AGT-0049,Active,2022-05-24,2027-05-23,3178.35,124757.35,Monthly,Auto-Debit,Substandard,"Hospital Cash,Disability",Agency,Hong Kong
POL-000122,CUST-00132,PROD-006,AGT-0021,Cancelled,2024-01-16,2025-01-15,761.62,69326.73,Monthly,Auto-Debit,Standard,,Agency,Hong Kong
POL-000123,CUST-01824,PROD-008,AGT-0023,Cancelled,2022-07-06,2023-07-06,1716.91,62224.29,Quarterly,Cash,Declined,Hospital Cash,Bancassurance,Indonesia
POL-000124,CUST-01368,PROD-010,AGT-0040,Surrendered,2018-02-07,2019-02-07,405.7,22614.6,Annual,Auto-Debit,Declined,,Digital,Thailand
POL-000125,CUST-00874,PROD-014,AGT-0042,Lapsed,2019-07-25,2020-07-24,2956.46,94076.72,Semi-Annual,Credit Card,Declined,Disability,Digital,Indonesia
POL-000126,CUST-00836,PROD-011,AGT-0025,Active,2021-04-11,2051-04-04,14734.24,542605.53,Monthly,Bank Transfer,Preferred,,Bancassurance,Indonesia
POL-000127,CUST-01181,PROD-006,AGT-0024,Surrendered,2024-02-08,2025-02-07,518.61,31973.98,Semi-Annual,Cash,Declined,CI Rider,Bancassurance,Singapore
POL-000128,CUST-00429,PROD-003,AGT-0026,Active,2020-04-08,2021-04-08,1110.48,97893.71,Monthly,Credit Card,Declined,CI Rider,Agency,Hong Kong
POL-000129,CUST-01982,PROD-005,AGT-0033,Matured,2018-02-28,2019-02-28,1140.43,41738.34,Semi-Annual,Credit Card,Substandard,"Hospital Cash,Waiver of Premium,Disability",Digital,Hong Kong
POL-000130,CUST-00185,PROD-014,AGT-0016,Matured,2020-11-06,2021-11-06,6522.23,499532.07,Monthly,Bank Transfer,Standard,,Agency,Indonesia
POL-000131,CUST-01461,PROD-004,AGT-0025,Active,2022-08-15,2023-08-15,2157.01,107910.11,Quarterly,Auto-Debit,Substandard,"Hospital Cash,Waiver of Premium",Bancassurance,Singapore
POL-000132,CUST-00595,PROD-001,AGT-0035,Matured,2021-09-18,2026-09-17,4356.3,405584.81,Annual,Bank Transfer,Preferred,"Waiver of Premium,Disability",Broker,Indonesia
POL-000133,CUST-01299,PROD-001,AGT-0033,Active,2021-07-02,2026-07-01,4678.28,123431.3,Annual,Credit Card,Standard,CI Rider,Digital,Vietnam
POL-000134,CUST-01825,PROD-001,AGT-0019,Active,2022-09-12,2027-09-11,4959.67,351994.64,Semi-Annual,Bank Transfer,Standard,"Accidental Death,Hospital Cash,Disability",Bancassurance,Singapore
POL-000135,CUST-00149,PROD-001,AGT-0027,Active,2022-05-12,2027-05-11,5114.87,325587.63,Annual,Bank Transfer,Preferred,,Bancassurance,South Korea
POL-000136,CUST-00882,PROD-012,AGT-0004,Matured,2019-12-29,2029-12-26,11218.46,470103.36,Quarterly,Auto-Debit,Substandard,"Waiver of Premium,CI Rider",Agency,South Korea
POL-000137,CUST-00157,PROD-003,AGT-0042,Active,2018-03-04,2019-03-04,1739.02,139949.3,Semi-Annual,Credit Card,Preferred,Waiver of Premium,Digital,Hong Kong
POL-000138,CUST-00709,PROD-001,AGT-0028,Active,2022-11-12,2027-11-11,4315.86,173525.71,Quarterly,Bank Transfer,Standard,"Waiver of Premium,Hospital Cash,Accidental Death",Digital,South Korea
POL-000139,CUST-01178,PROD-011,AGT-0023,Active,2020-11-12,2050-11-05,12523.69,316586.57,Quarterly,Auto-Debit,Preferred,Waiver of Premium,Bancassurance,Thailand
POL-000140,CUST-01681,PROD-006,AGT-0033,Active,2024-02-27,2025-02-26,323.89,26847.59,Semi-Annual,Bank Transfer,Standard,"CI Rider,Waiver of Premium,Disability",Digital,Hong Kong
POL-000141,CUST-01992,PROD-006,AGT-0027,Active,2024-10-23,2025-10-23,513.71,24007.29,Semi-Annual,Credit Card,Declined,Accidental Death,Bancassurance,Hong Kong
POL-000142,CUST-00571,PROD-003,AGT-0015,Surrendered,2024-09-26,2025-09-26,1183.22,28792.66,Quarterly,Auto-Debit,Standard,CI Rider,Agency,Hong Kong
POL-000143,CUST-00514,PROD-013,AGT-0010,Active,2020-09-08,2021-09-08,1549.05,93665.27,Monthly,Bank Transfer,Declined,"Hospital Cash,Disability,Waiver of Premium",Broker,Hong Kong
POL-000144,CUST-01221,PROD-009,AGT-0010,Active,2024-04-21,2025-04-21,637.63,50366.51,Quarterly,Credit Card,Declined,"Waiver of Premium,Hospital Cash",Broker,Philippines
POL-000145,CUST-01140,PROD-014,AGT-0042,Active,2020-10-03,2021-10-03,6410.95,431217.47,Semi-Annual,Credit Card,Substandard,,Digital,Thailand
POL-000146,CUST-01545,PROD-009,AGT-0043,Active,2023-09-25,2024-09-24,685.57,49952.87,Monthly,Auto-Debit,Standard,Accidental Death,Agency,Mainland China
POL-000147,CUST-00956,PROD-016,AGT-0011,Active,2019-03-06,2020-03-05,588.5,14217.49,Semi-Annual,Cash,Preferred,,Digital,Philippines
POL-000148,CUST-01417,PROD-003,AGT-0031,Lapsed,2019-05-27,2020-05-26,1451.53,58226.6,Monthly,Bank Transfer,Substandard,"CI Rider,Hospital Cash",Bancassurance,Malaysia
